"model","deviceCategory","deviceSku","simSku","prepaidSku","cpoSku","cpoPrepaidSku","visionSku","upcCode","url"
"Spigen Core Amor for Samsung Galaxy S22 - Black","","SPGACS04016","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26102.html"
"LifeProof NEXT for Samsung Galaxy S22 - Black Crystal","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26134.html"
"GEAR4 Denali Case for Samsung Galaxy S22 - Black","","GEA702009238-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26004.html"
"OtterBox Defender Pro for Samsung Galaxy S22 - Fort Blue","","77-86867","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26128.html"
"Verizon Blue Light Screen Protector for Samsung Galaxy S22 Ultra","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26400.html"
"OtterBox Alpha Flex for Samsung Galaxy S22 - Blue Light","","77-87920","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26135.html"
"Spigen Crystal Flex case for Samsung Galaxy S22 - Clear","","SPGACS04017","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26103.html"
"Galaxy S22+ 5G","5G Smartphone","SMS906UZGV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56087","887276611655","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10264.html"
"Galaxy S22 5G","5G Smartphone","SMS901UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56065","887276598635","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10250.html"
"Galaxy S22 5G VBC","5G Smartphone","SMS901UZKV-VBC","DFILLSIM5G-SA-A","N/A","N/A","N/A","61108","887276598635","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10623.html"
"Galaxy S22 Ultra 5G","5G Smartphone","SMS908UZWV","DFILLSIM5G-SA-A","N/A","N/A","N/A","56106","887276612485","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10270.html"
"Samsung Clear Standing Cover for Samsung Galaxy S22+ - Clear","","EF-JS906CTEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26224.html"
"OtterBox Symmetry for Samsung Galaxy S22+ - Black","","77-86478","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26142.html"
"OtterBox Commuter for Samsung Galaxy S22+ - Black","","77-88015","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26139.html"
"Verizon Clear Screen Protector for Samsung Galaxy S22+","","PVYBM1-SSJ62J2","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26398.html"
"OtterBox Symmetry Clear for Samsung Galaxy S22+ - Clear","","77-86555","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26140.html"
"Verizon Slim Case for Samsung Galaxy S22+ - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26407.html"
"Verizon Blue Light Screen Protector for Samsung Galaxy S22+","","PVY2M1-SSJ62J2","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26402.html"
"Verizon Slim Case for Samsung Galaxy S22+ - Black","","VZW702009175-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26404.html"
"OtterBox Commuter for Samsung Galaxy S22+ - Maven Way","","77-88016","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26138.html"
"OtterBox Symmetry for Samsung Galaxy S22+ - Stone Swirl","","77-88100","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26327.html"
"OtterBox Defender Pro for Samsung Galaxy S22+ - Black","","77-86589","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26136.html"
"UAG Pathfinder case for Samsung Galaxy S22+ - Black","","UAG213437114040","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26085.html"
"Case-Mate Twinkle for Samsung Galaxy S22+ - Diamond","","CM048060-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26045.html"
"OtterBox Defender Pro for Samsung Galaxy S22+ - Fort Blue","","77-86868","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26137.html"
"GEAR4 Denali Case for Samsung Galaxy S22+ - Black","","GEA702009239-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26005.html"
"GEAR4 Havana Case for Samsung Galaxy S22+ - Black","","GEA702009236-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26002.html"
"Incipio Organicore Clear for Samsung Galaxy S22+ - Charcoal/Clear","","SA-2025-CHL-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26188.html"
